NODE;OFFSHORE_NODE;OFFSHORE_NODE_TYPE;TECHNOLOGY;YEAR;SCENARIO;MW
BEIOH01;BEIOH01;Hub;DC_FB_OH;2030;Distributed Energy;3000
BEIOH01;BEIOH01;Hub;DC_FB_OH;2030;Global Ambition;3000
BEIOH01;BEIOH01;Hub;DC_FB_OH;2030;National Trends;3000
BEIOH01;BEIOH01;Hub;DC_FB_OH;2035;Distributed Energy;3000
BEIOH01;BEIOH01;Hub;DC_FB_OH;2035;Global Ambition;3000
BEIOH01;BEIOH01;Hub;DC_FB_OH;2035;National Trends;3000
BEIOH01;BEIOH01;Hub;DC_FB_OH;2040;Distributed Energy;3000
BEIOH01;BEIOH01;Hub;DC_FB_OH;2040;Global Ambition;3000
BEIOH01;BEIOH01;Hub;DC_FB_OH;2040;National Trends;3000
BEIOH01;BEIOH01;Hub;DC_FB_OH;2045;Distributed Energy;3000
BEIOH01;BEIOH01;Hub;DC_FB_OH;2045;Global Ambition;3000
BEIOH01;BEIOH01;Hub;DC_FB_OH;2045;National Trends;3000
BEIOH01;BEIOH01;Hub;DC_FB_OH;2050;Distributed Energy;3000
BEIOH01;BEIOH01;Hub;DC_FB_OH;2050;Global Ambition;3000
BEIOH01;BEIOH01;Hub;DC_FB_OH;2050;National Trends;3000
BE00;BEOH001;Hub;AC_FB_R;2030;Distributed Energy;3112,484055
BE00;BEOH001;Hub;DC_FB_R;2030;Distributed Energy;2647,515945
BE00;BEOH001;Hub;AC_FB_R;2030;Global Ambition;3112,484055
BE00;BEOH001;Hub;DC_FB_R;2030;Global Ambition;2647,515945
BE00;BEOH001;Hub;AC_FB_R;2030;National Trends;3112,484055
BE00;BEOH001;Hub;DC_FB_R;2030;National Trends;2647,515945
BE00;BEOH001;Hub;AC_FB_R;2035;Distributed Energy;3112,484055
BE00;BEOH001;Hub;DC_FB_R;2035;Distributed Energy;3747,515945
BE00;BEOH001;Hub;AC_FB_R;2035;Global Ambition;3112,484055
BE00;BEOH001;Hub;DC_FB_R;2035;Global Ambition;3747,515945
BE00;BEOH001;Hub;AC_FB_R;2035;National Trends;3112,484055
BE00;BEOH001;Hub;DC_FB_R;2035;National Trends;3747,515945
BE00;BEOH001;Hub;AC_FB_R;2040;Distributed Energy;3112,484055
BE00;BEOH001;Hub;DC_FB_R;2040;Distributed Energy;4847,515945
BE00;BEOH001;Hub;AC_FB_R;2040;Global Ambition;3112,484055
BE00;BEOH001;Hub;DC_FB_R;2040;Global Ambition;4847,515945
BE00;BEOH001;Hub;AC_FB_R;2040;National Trends;3112,484055
BE00;BEOH001;Hub;DC_FB_R;2040;National Trends;4847,515945
BE00;BEOH001;Hub;AC_FB_R;2045;Distributed Energy;3112,484055
