OFFSHORE_NODE;OFFSHORE_NODE_TYPE;YEAR;SCENARIO;LAYER;TECH1;TECH2;EXISTING_MW;MARGIN_MW;MAX_MW
ALOR001;Radial;2030;Distributed Energy;AC_FB;AC_FB_R;;0;0;0
ALOR001;Radial;2035;Distributed Energy;AC_FB;AC_FB_R;;0;0;0
ALOR001;Radial;2040;Distributed Energy;AC_FB;AC_FB_R;;0;0;0
ALOR001;Radial;2045;Distributed Energy;AC_FB;AC_FB_R;;0;0;0
ALOR001;Radial;2050;Distributed Energy;AC_FB;AC_FB_R;;0;0;0
ALOR001;Radial;2030;Distributed Energy;AC_FL;AC_FL_R;;0;0;0
ALOR001;Radial;2035;Distributed Energy;AC_FL;AC_FL_R;;0;0;0
ALOR001;Radial;2040;Distributed Energy;AC_FL;AC_FL_R;;0;0;0
ALOR001;Radial;2045;Distributed Energy;AC_FL;AC_FL_R;;0;0;0
ALOR001;Radial;2050;Distributed Energy;AC_FL;AC_FL_R;;0;0;0
ALOR001;Radial;2030;Distributed Energy;DC_FB;DC_FB_R;;0;0;0
ALOR001;Radial;2035;Distributed Energy;DC_FB;DC_FB_R;;0;0;0
ALOR001;Radial;2040;Distributed Energy;DC_FB;DC_FB_R;;0;0;0
ALOR001;Radial;2045;Distributed Energy;DC_FB;DC_FB_R;;0;0;0
ALOR001;Radial;2050;Distributed Energy;DC_FB;DC_FB_R;;0;0;0
ALOR001;Radial;2030;Distributed Energy;DC_FL;DC_FL_R;;0;0;0
ALOR001;Radial;2035;Distributed Energy;DC_FL;DC_FL_R;;0;0;0
ALOR001;Radial;2040;Distributed Energy;DC_FL;DC_FL_R;;0;0;0
ALOR001;Radial;2045;Distributed Energy;DC_FL;DC_FL_R;;0;0;0
ALOR001;Radial;2050;Distributed Energy;DC_FL;DC_FL_R;;0;0;0
ALOR001;Radial;2030;Global Ambition;AC_FB;AC_FB_R;;0;0;0
ALOR001;Radial;2035;Global Ambition;AC_FB;AC_FB_R;;0;0;0
ALOR001;Radial;2040;Global Ambition;AC_FB;AC_FB_R;;0;0;0
ALOR001;Radial;2045;Global Ambition;AC_FB;AC_FB_R;;0;0;0
ALOR001;Radial;2050;Global Ambition;AC_FB;AC_FB_R;;0;0;0
ALOR001;Radial;2030;Global Ambition;AC_FL;AC_FL_R;;0;0;0
ALOR001;Radial;2035;Global Ambition;AC_FL;AC_FL_R;;0;0;0
ALOR001;Radial;2040;Global Ambition;AC_FL;AC_FL_R;;0;0;0
ALOR001;Radial;2045;Global Ambition;AC_FL;AC_FL_R;;0;0;0
ALOR001;Radial;2050;Global Ambition;AC_FL;AC_FL_R;;0;0;0
ALOR001;Radial;2030;Global Ambition;DC_FB;DC_FB_R;;0;0;0
ALOR001;Radial;2035;Global Ambition;DC_FB;DC_FB_R;;0;0;0
ALOR001;Radial;2040;Global Ambition;DC_FB;DC_FB_R;;0;0;0
ALOR001;Radial;2045;Global Ambition;DC_FB;DC_FB_R;;0;0;0
ALOR001;Radial;2050;Global Ambition;DC_FB;DC_FB_R;;0;0;0
ALOR001;Radial;2030;Global Ambition;DC_FL;DC_FL_R;;0;0;0
ALOR001;Radial;2035;Global Ambition;DC_FL;DC_FL_R;;0;0;0
