OFFSHORE_NODE;OFFSHORE_NODE_TYPE;YEAR;SCENARIO;TECH1;TECH2;TECH3;TECH4;TECH5;TECH6;EXISTING_MW;MARGIN_MW;MAX_MW
ALOR001;Radial;2030;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2035;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2040;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2045;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2050;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2030;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2035;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2040;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2045;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2050;Global Ambition;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2030;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2035;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2040;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2045;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
ALOR001;Radial;2050;National Trends;AC_FB_R;AC_FL_R;DC_FB_R;DC_FL_R;;;0;0;0
BEIOH01;Hub;2030;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
BEIOH01;Hub;2035;Distributed Energy;AC_FB_R;AC_FL_R;DC_FB_OH;DC_FL_OH;H2_FB_OH;H2_FL_OH;3000;10293,81239;13293,81239
