OFFSHORE_NODE;OFFSHORE_NODE_TYPE;HOME_NODE;LAT;LON
ALOR001;Radial;AL00;40,92602451;19,11257013
BEIOH01;Hub;DKE1;55,0951036;15,19946344
BEOH001;Hub;BE00;51,46641148;2,706047207
BGOR001;Radial;BG00;42,93383447;29,20324501
CYOR001;Radial;CY00;34,48905158;32,63603221
DEOH001;FarShoreHub;DE00;54,81229476;6,236432504
DEOH002;Hub;DE00;54,4713764;13,27231859
DEOR001;Radial;DE00;54,24292067;8,239364068
DKEOR01;Radial;DKE1;55,43782339;11,84740497
DKWOH01;FarShoreHub;DKW1;56,18549166;5,99118908
DKWOR01;Radial;DKW1;56,60445066;9,508858084
EEOH001;Hub;EE00;58,76955126;22,99936594
ESOH001;Hub;ES00;44,0801838;-9,220172007
ESOH002;Hub;ES00;36,36693243;-4,131967906
ESOH003;Hub;ES00;39,66523864;2,809639555
FIOH001;Hub;FI00;61,74264978;21,89424925
FROH001;Hub;FR00;50,01957607;-0,081210881
FROH002;Hub;FR00;46,85273138;-5,195366044
FROH003;Hub;FR00;42,51145228;6,752468684
GROR001;Radial;GR00;37,33684502;22,87231598
GROR002;Radial;GR03;34,55248678;26,43559547
HROH001;Hub;HR00;43,43292669;15,65126553
IEOH001;Hub;IE00;52,65409715;-11,74291115
ITCNOR1;Radial;ITCN;43,12732587;11,57131854
ITCSOR1;Radial;ITCS;40,60663484;12,9087588
ITN1OR1;Radial;ITN1;44,26296778;10,44263273
ITS1OR1;Radial;ITS1;40,84083353;17,37457004
ITSAOR1;Radial;ITSA;39,82673539;8,54606692
ITSIOR1;Radial;ITSI;37,17618475;14,56342928
LTOR001;Radial;LT00;55,75442345;20,35946163
LVOH001;Hub;LV00;57,10498062;21,35078954
MEOR001;Radial;ME00;41,87174666;18,68093272
MTOR001;Radial;MT00;35,31501555;15,10880913
NLOH001;FarShoreHub;NL00;54,12600249;3,939687368
NLOR001;Radial;NL00;52,93996669;4,47511208
NOMOH01;Hub;NOM1;63,68042882;4,327647829
NONOH01;Hub;NON1;70,29590466;16,99431471
NOSOH01;FarShoreHub;NOS0;57,90052589;3,917004645
NOSOH02;Hub;NOS0;60,98813833;3,481279692
NOSOR01;Radial;NOS0;58,55469094;7,222983677
PLOH001;Hub;PL00;54,90943031;17,29032214
PTOH001;Hub;PT00;38,31982941;-10,92235994
ROOR001;Radial;RO00;44,24087983;30,0783836
SEOH001;Hub;SE02;62,61346687;19,34728033
SEOH002;Hub;SE03;57,93667196;17,72457687
SEOH003;Hub;SE04;55,94942355;14,34520688
SEOR001;Radial;SE01;65,33502004;22,85529506
UAOR001;Radial;UA02;44,95163906;33,63377654
UKNIOR1;Radial;UKNI;54,71527499;-5,813655829
UKOH001;FarShoreHub;UK00;54,81560891;1,742048124
UKOH002;FarShoreHub;UK00;57,81804897;0,970627314
UKOH003;Hub;UK00;51,42690719;0,936596186
UKOH004;Hub;UK00;53,18118985;-4,658896018
UKOH005;Hub;UK00;49,81421446;-6,246058121
UKOH006;Hub;UK00;60,11287284;-1,524519992
UKOR001;Radial;UK00;57,77625177;-8,600849949
