technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing_losses,temperature difference,wood-input,yield-biochar,capital_cost,marginal_cost,CO2 capture
Alkaline electrolyzer large size,,,,0.0,,2.8,,,0.2389,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.38,,0.0,,,,,,429030.6,40.0,,,,,,,,,,,,,0.0,,,,44194.072656428354,0.2389,
Alkaline electrolyzer medium size,,,,0.0,,2.3,,,0.2389,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.416,,0.0,,,,,,506033.2,20.0,,,,,,,,,,,,,0.0,,,,59404.71787122204,0.2389,
Alkaline electrolyzer small size,,,,0.0,,2.3,,,0.1934,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.41,,0.0,,,,,,582922.0,20.0,,,,,,,,,,,,,0.0,,,,68430.91906011007,0.1934,
Ammonia cracker,,,,0.0,,4.3,,,0.0,1.46,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1123945.3807,25.0,,,,,,,,,,,,,0.0,,,,144775.98581574493,0.0,
BEV Bus city,,,,0.0,,0.0003,346.5517,,0.0952,,,,,,,,,,,,,,0.07,,,,0.8585,,,,,,,,,0.0,,,,,,222485.6452,12.0,,,,,,,,,,,,,0.0,,,,28012.052634810898,0.0952,
BEV Coach,,,,0.0,,0.0002,358.6207,,0.0952,,,,,,,,,,,,,,0.07,,,,0.8446,,,,,,,,,0.0,,,,,,303025.4488,12.0,,,,,,,,,,,,,0.0,,,,38152.11266789767,0.0952,
BEV Truck Semi-Trailer max 50 tons,,,,0.0,,0.0004,555.1724,,0.0952,,,,,,,,,,,,,,0.07,,,,1.3936,,,,,,,,,0.0,,,,,,151213.8954,10.5,,,,,,,,,,,,,0.0,,,,20814.213320789044,0.0952,
BEV Truck Solo max 26 tons,,,,0.0,,0.0002,382.7586,,0.0952,,,,,,,,,,,,,,0.07,,,,0.8755,,,,,,,,,0.0,,,,,,282418.6749,13.8,,,,,,,,,,,,,0.0,,,,32574.84650137543,0.0952,
BEV Truck Trailer max 56 tons,,,,0.0,,0.0003,710.3448,,0.0952,,,,,,,,,,,,,,0.07,,,,1.5446,,,,,,,,,0.0,,,,,,167722.8037,13.8,,,,,,,,,,,,,0.0,,,,19345.717684194806,0.0952,
Battery electric (passenger cars),,,,0.0,,0.9,,,0.0,,,,,,,,,,,,,,0.07,,,,0.68,,,,,,,,,0.0,,,,,,24624.0,15.0,,,,,,,,,,,,,0.0,,,,2925.198838637584,0.0,
Battery electric (trucks),,,,0.0,,15.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,136400.0,15.0,,,,,,,,,,,,,0.0,,,,35435.98680921728,0.0,
BioSNG,,0.3402,0.6598,0.0,0.2419,1.6375,,,1.8078,,,,,0.9,,,,,,,,,0.07,,,,0.63,,,,,,,,,0.0,,,,,,1701440.0,25.0,,,,,,,,,,,,,0.0,,,,173862.5264199293,1.8078,
BtL,,0.2688,0.7312,0.0,0.2681,2.6667,,,1.1299,,,,,0.9,,,,,,,,,0.07,,,,0.3833,,,,,,,,,0.0,,,,,,3118433.3000000003,25.0,,,,,,,,,,,,,0.0,,,,350753.63520224707,1.1299,
CCGT,,,,0.198,,3.3494,,,4.4445,,2.0,0.15,,,,,,,,,,,0.07,,,,0.58,,,,,,,,,24.568,,,,,,878324.0,25.0,,,,,,,,,,,,,0.0,,,,104788.02078332388,46.803120689655174,
CH4 (g) fill compressor station,,,,0.0,,1.7,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1654.96,20.0,,,,,,,,,,,,,0.0,,,,184.3508363880584,0.0,
CH4 (g) pipeline,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.01,,0.0,,,,,,87.22,50.0,,,,,,,,,,,,,0.0,,,,7.628248076844581,0.0,
CH4 (g) submarine pipeline,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.01,,0.0,,,,,,119.3173,30.0,,,,,,,,,,,,,0.0,,,,13.194871083656306,0.0,
CH4 (l) transport ship,,,,0.0,,3.5,,,0.0,,,,58300.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,159791465.6831,25.0,,,,,,,,,,,,,0.0,,,,19304489.616623547,0.0,
CH4 evaporation,,,,0.0,,3.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,91110.1,30.0,,,,,,,,,,,,,0.0,,,,10531.088782537692,0.0,
CH4 liquefaction,,,,0.0,,3.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.036,,0.0,,,,,,241443.0,25.0,,1.0,,,,,,,,,,,0.0,,,,29168.853709309165,0.0,
CO2 liquefaction,,,,0.0,,5.0,,,0.0,,,,,,,1.0,,,,,,,0.07,,,,1.0,,,,,,,0.123,,0.0,,,0.0067,,,16.7226,25.0,,,,,,,,,,,,,0.0,,,,2.271104955274303,0.0,
CO2 pipeline,,,,0.0,,0.9,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2116.4433,50.0,,,,,,,,,,,,,0.0,,,,172.40515277711071,0.0,
