node,price_band,Capacity,Units,Hours,Price,Climate year start,Climate year end
AT00,Price Band 1,700.0,15,24,500,1982,2016
BE00,Price Band 1,131.0,3,1,1000,1982,2016
BE00,Price Band 2,53.80000000000003,3,24,1000,1982,2016
BE00,Price Band 3,454.0,3,2,2000,1982,2016
BE00,Price Band 4,634.0,3,4,1500,1982,2016
BE00,Price Band 5,540.8240280783971,6,8,500,1982,2016
BE00,Price Band 6,193.0,3,24,300,1982,2016
BE00,Price Band 7,202.6516582352274,3,24,178,1982,2016
BE00,Price Band 8,620.3849346390525,3,24,67,1982,2016
DE00,Price Band 1,288.5,7,8,5,1982,2016
DE00,Price Band 2,1838.7,14,24,5,1982,2016
DE00,Price Band 3,2.7,7,6,256,1982,2016
DE00,Price Band 4,3.2,7,2,820,1982,2016
DE00,Price Band 5,152.4,7,15,461,1982,2016
DE00,Price Band 6,200.1,7,24,390,1982,2016
DE00,Price Band 7,49.39999999999999,7,1,564,1982,2016
DE00,Price Band 8,103.6,7,6,487,1982,2016
DE00,Price Band 9,1307.2,7,24,10,1982,2016
DE00,Price Band 10,304.2,21,24,20,1982,2016
DE00,Price Band 11,259.1,7,24,115,1982,2016
DE00,Price Band 12,19.0,7,24,150,1982,2016
DE00,Price Band 13,471.7,21,24,200,1982,2016
DE00,Price Band 14,10000.0,1,24,87.1,1995,1995
DE00,Price Band 14_2,10000.0,1,24,87.1,2008,2008
DE00,Price Band 14_3,10000.0,1,24,87.1,2009,2009
DE00,Price Band 15,8800.0,1,24,43.6,1995,1995
DE00,Price Band 15_2,8800.0,1,24,43.6,2008,2008
DE00,Price Band 15_3,8800.0,1,24,43.6,2009,2009
EE00,Price Band 1,198.0,1,24,1000,1982,2016
ES00,Price Band 1,1000.0,11,3,700,1982,2016
FI00,Price Band 1,287.5,2,12,50,1982,2016
FI00,Price Band 2,862.5,2,24,75,1982,2016
FI00,Price Band 3,650.0,2,2,100,1982,2016
FI00,Price Band 4,940.0,2,4,150,1982,2016
FI00,Price Band 5,950.4157882011606,2,24,160,1982,2016
FI00,Price Band 6,950.4157882011606,2,4,240,1982,2016
FR00,Price Band 1,1479.8,14,24,350,1982,2016
FR00,Price Band 2,3519.600000000001,14,10,350,1982,2016
GR00,Price Band 1,250.0,16,6,250,1982,2016
HR00,Price Band 1,57.0,8,24,2999,1982,2016
IE00,Price Band 1,504.0,1,2,3000,1982,2016
IE00,Price Band 2,163.0,12,24,0,1982,2016
LT00,Price Band 1,40.0,1,4,500,1982,2016
LUG1,Price Band 1,45.0,1,5,500,1982,2016
LV00,Price Band 1,10.0,1,24,150,1982,2016
LV00,Price Band 2,20.0,1,24,200,1982,2016
LV00,Price Band 3,40.0,1,24,300,1982,2016
LV00,Price Band 4,80.0,1,24,500,1982,2016
NL00,Price Band 1,1687.0,4,24,500,1982,2016
NOM1,Price Band 1,389.1941391941392,1,8,400,1982,2016
NOM1,Price Band 2,107.6007326007326,1,8,700,1982,2016
NOM1,Price Band 4,1058.264652014652,1,8,950,1982,2016
NOM1,Price Band 5,482.4862637362637,1,8,1000,1982,2016
NON1,Price Band 1,171.7032967032967,1,8,400,1982,2016
NON1,Price Band 2,87.68315018315019,1,8,700,1982,2016
NON1,Price Band 3,183.1501831501832,1,8,775,1982,2016
NON1,Price Band 4,825.7783882783883,1,8,950,1982,2016
NON1,Price Band 5,294.2994505494505,1,8,1000,1982,2016
NOS0,Price Band 1,172.6190476190476,1,8,400,1982,2016
NOS0,Price Band 2,17.17032967032967,1,8,700,1982,2016
NOS0,Price Band 4,80.12820512820512,1,8,950,1982,2016
NOS0,Price Band 5,420.1007326007326,1,8,1000,1982,2016
NOS0,Price Band 6,5.723443223443224,1,8,100,1982,2016
NOS0,Price Band 7,58.9514652014652,1,8,400,1982,2016
NOS0,Price Band 8,581.6163003663004,1,8,700,1982,2016
NOS0,Price Band 9,3483.516483516484,2,8,950,1982,2016
NOS0,Price Band 10,1148.466117216117,2,8,1000,1982,2016
SE01,Price Band 1,71.4,1,24,150,1982,2016
SE01,Price Band 2,71.4,1,24,244,1982,2016
SE01,Price Band 3,71.4,1,24,376,1982,2016
SE02,Price Band 1,107.8,1,24,150,1982,2016
SE02,Price Band 2,107.8,1,24,244,1982,2016
SE02,Price Band 3,107.8,1,24,376,1982,2016
SE03,Price Band 1,312.2,1,24,150,1982,2016
SE03,Price Band 2,312.2,1,24,244,1982,2016
SE03,Price Band 3,312.2,1,24,376,1982,2016
SE04,Price Band 1,88.2,1,24,150,1982,2016
SE04,Price Band 2,88.2,1,24,244,1982,2016
SE04,Price Band 3,88.2,1,24,376,1982,2016
SI00,Price Band 1,40.0,1,24,400,1982,2016
SI00,Price Band 2,15.0,3,12,250,1982,2016
UK00,Price Band 1,7438.914696825494,5,8,500,1982,2016
