country,year,electricity residential space,total residential space,total residential water,electricity residential water,total residential cooking,electricity residential cooking,total residential,electricity residential,distributed heat residential,thermal uses residential,total services space,electricity services space,total services water,electricity services water,total services cooking,electricity services cooking,total services,electricity services,distributed heat services,thermal uses services,total agriculture electricity,total agriculture heat,total agriculture machinery,total agriculture,total road,electricity road,total two-wheel,total passenger cars,electricity passenger cars,total other road passenger,electricity other road passenger,total light duty road freight,electricity light duty road freight,total heavy duty road freight,total rail,electricity rail,total rail passenger,electricity rail passenger,total rail freight,electricity rail freight,total aviation passenger,total aviation freight,total domestic aviation passenger,total international aviation passenger,total domestic aviation freight,total international aviation freight,total domestic aviation,total international aviation,total domestic navigation,total international navigation
AL,1990,0.10559113783191278,4.655238636914821,0.6901352664818995,0.09219063279083431,0.37736680773819575,0.06244393390020356,6.140581850000001,0.71400059,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0028174433455938797,0.0028174433455938797,0.0028174433455938797,0.029005220000000005,2.7135581200000005,0.0,0.03643388027148189,1.655474132058719,0.0,0.14513411417659267,0.0,0.3308291054999648,0.0,0.5456868879932425,0.0,0.0,0.0,0.0,0.0,0.0,0.010925209177062817,0.001018800822937183,0.010925209177062817,0.0,0.001018800822937183,0.0,0.01194401,0.0,0.0,0.0
AL,1991,0.078232347261453,4.812536629507811,0.6905173732599188,0.06830392916332301,0.3739693008042919,0.046264635665053976,6.17583238,0.52900218,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.002137370813898805,0.002137370813898805,0.002137370813898805,0.022003960000000003,2.0534393200000003,0.0,0.027570724127196206,1.2527521157395536,0.0,0.10982779197800442,0.0,0.2503493433315723,0.0,0.41293934482367384,0.0,0.0,0.0,0.0,0.0,0.0,0.010925209177062817,0.001018800822937183,0.010925209177062817,0.0,0.001018800822937183,0.0,0.01194401,0.0,0.0,0.0
AL,1992,0.0862179425728659,4.560152065308525,0.6632699607849768,0.07527607758493206,0.3606691711184836,0.05098711518386957,5.919274580000001,0.5830002700000001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.002331677251525969,0.002331677251525969,0.002331677251525969,0.024004320000000003,1.5796680100000002,0.0,0.02120958262173874,0.9637160555071043,0.0,0.08448822807025445,0.0,0.19258852459559975,0.0,0.3176656192053032,0.0,0.0,0.0,0.0,0.0,0.0,0.010925209177062817,0.001018800822937183,0.010925209177062817,0.0,0.001018800822937183,0.0,0.01194401,0.0,0.0,0.0
AL,1993,0.11224551393784785,4.05528894742964,0.6162212391132258,0.09800050620095825,0.3393134011909953,0.06637916397952674,5.462052760000001,0.7589970600000001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0028174433455938797,0.0028174433455938797,0.0028174433455938797,0.029005220000000005,1.9729946100000002,0.0,0.0264906245667659,1.2036748044837455,0.0,0.10552522272769373,0.0,0.2405417585021366,0.0,0.39676219971965854,0.0,0.0,0.0,0.0,0.0,0.0,0.010925209177062817,0.001018800822937183,0.010925209177062817,0.0,0.001018800822937183,0.0,0.01194401,0.0,0.0,0.0
AL,1994,0.11535169208396277,3.869945360648096,0.5941659050943127,0.10071248122775683,0.3281059781572046,0.06821607933834235,5.25828353,0.78000084,,,0.00702333174059967,0.00702333174059967,0.002504081770999278,0.002504081770999278,0.0035967252943651905,0.0035967252943651905,0.030005400000000005,0.030005400000000005,,,0.0031089030020346256,0.0031089030020346256,0.0031089030020346256,0.03200576,2.49055287,0.0,0.03343967627101187,1.5194241908515307,0.0,0.1332067229123585,0.0,0.3036409546969534,0.0,0.500841325268146,0.0,0.0,0.0,0.0,0.0,0.0,0.010925209177062817,0.001018800822937183,0.010925209177062817,0.0,0.001018800822937183,0.0,0.01194401,0.0,0.0,0.0
AL,1995,0.13058331648152308,4.012266250636131,0.6241674017626538,0.11401106973126097,0.34591059127633217,0.07722367757625553,5.512864230000001,0.8829961200000002,,,0.00702333174059967,0.00702333174059967,0.002504081770999278,0.002504081770999278,0.0035967252943651905,0.0035967252943651905,0.030005400000000005,0.030005400000000005,,,0.0037878458451388445,0.0037878458451388445,0.0037878458451388445,0.038995390000000005,2.4725612600000004,0.0,0.03319810998216039,1.5084479583066797,0.0,0.132244445244261,0.0,0.3014474699881003,0.0,0.4972232764787992,0.0,0.0,0.0,0.0,0.0,0.0,0.010925209177062817,0.001018800822937183,0.010925209177062817,0.0,0.001018800822937183,0.0,0.01194401,0.0,0.0,0.0
AL,1996,0.17376710435120962,4.220235107439301,0.6835279010792259,0.15171443018134922,0.3828546810239971,0.10276147980723153,6.001417270000001,1.17500216,,,0.009361720099194677,0.009361720099194677,0.0033378051203358594,0.0033378051203358594,0.0047942396462487945,0.0047942396462487945,0.03999557000000001,0.03999557000000001,,,0.005050837689715411,0.005050837689715411,0.005050837689715411,0.051997730000000006,2.4501153600000003,0.0,0.032896737689023126,1.4947542745241569,0.0,0.13104393076499257,0.0,0.29871093121105663,0.0,0.49270948581077123,0.0,0.0,0.0,0.0,0.0,0.0,0.010925209177062817,0.001018800822937183,0.010925209177062817,0.0,0.001018800822937183,0.0,0.01194401,0.0,0.0,0.0
AL,1997,0.1634148971189473,4.049163829720021,0.6533667273944227,0.14267601507265557,0.3656078045119074,0.09663944572931836,5.739719010000001,1.1050011900000003,,,0.007722942693054753,0.007722942693054753,0.0027535193737693612,0.0027535193737693612,0.00395500374423025,0.00395500374423025,0.032994310000000006,0.032994310000000006,,,0.0025259836891531337,0.0025259836891531337,0.0025259836891531337,0.026004680000000006,1.9555612400000002,0.0,0.02625655354738105,1.1930391402402214,0.0,0.104592802414521,0.0,0.23841633278877472,0.0,0.3932564110091021,0.0,0.0,0.0,0.0,0.0,0.0,0.010925209177062817,0.001018800822937183,0.010925209177062817,0.0,0.001018800822937183,0.0,0.01194401,0.0,0.0,0.0
AL,1998,0.22183030938619414,3.679528086592006,0.6481113747954332,0.19367796402624793,0.3705238545676225,0.13118484619820753,5.624163330000001,1.5000025100000003,,,0.00865938692513471,0.00865938692513471,0.0030873969432359313,0.0030873969432359313,0.0044345671168122755,0.0044345671168122755,0.036995030000000005,0.036995030000000005,,,0.0028174433455938797,0.0028174433455938797,0.0028174433455938797,0.029005220000000005,2.8855541900000006,0.0,0.03874320402443891,1.7604046447321533,0.0,0.15433328963457224,0.0,0.351798365589964,0.0,0.5802746860188724,0.0,0.0,0.0,0.0,0.0,0.0,0.010925209177062817,0.001018800822937183,0.010925209177062817,0.0,0.001018800822937183,0.0,0.01194401,0.0,0.0,0.0
AL,1999,0.3284568399334786,1.92652098713965,0.49680070194732495,0.2867725884926818,0.3048577767127032,0.1942410852180163,4.12709158,2.2210043600000002,,,0.9658637875415512,0.21230061852166165,0.18984730023584773,0.07569315083592701,0.19539738067243673,0.10872147761897383,1.8560317000000002,0.9070004400000001,,,0.19463404731851222,0.19463404731851222,0.19463404731851222,2.0037327,4.751552800000001,0.0,0.06379723527676809,2.898803858128226,0.0,0.254135852668344,0.0,0.5792954832896128,0.0,0.9555203706370505,0.39233805000000005,0.0,0.2882404644449103,0.0,0.10409758555508976,0.0,0.41196128653526887,0.04192272346473116,0.010925209177062817,0.40103607735820607,0.001018800822937183,0.040903922641793974,0.01194401,0.44194000000000006,0.23311172000000002,0.0
