link_id,bus0,bus1,voltage,p_nom,length,underground,under_construction,tags,geometry
AL00-GR00-DC,AL00,GR00,380,600,219635.11061683248,t,f,AL00 -> GR00,'LINESTRING (20.036883988642362 41.117587702511265, 21.529612363362705 39.48616951026592)'
AL00-ME00-DC,AL00,ME00,380,400,189342.8900817466,t,f,AL00 -> ME00,'LINESTRING (20.036883988642362 41.117587702511265, 19.082581244926107 42.67587451024281)'
AL00-MK00-DC,AL00,MK00,380,500,153308.70660725507,t,f,AL00 -> MK00,'LINESTRING (20.036883988642362 41.117587702511265, 21.73596299130559 41.612799248609235)'
AL00-RS00-DC,AL00,RS00,380,250,351420.5353212442,t,f,AL00 -> RS00,'LINESTRING (20.036883988642362 41.117587702511265, 20.844931029154555 44.22438574020019)'
AT00-CH00-DC,AT00,CH00,380,1200,494893.19361192145,t,f,AT00 -> CH00,'LINESTRING (14.822183225330722 47.66889815500067, 8.416155547862315 46.797090406754855)'
AT00-CZ00-DC,AT00,CZ00,380,900,239946.17806962028,t,f,AT00 -> CZ00,'LINESTRING (14.822183225330722 47.66889815500067, 15.66368315845627 49.752662484669656)'
AT00-DE00-DC,AT00,DE00,380,7500,512754.70005599415,t,f,AT00 -> DE00,'LINESTRING (14.822183225330722 47.66889815500067, 10.11340015140031 51.10991486311772)'
AT00-HU00-DC,AT00,HU00,380,800,324765.18689465034,t,f,AT00 -> HU00,'LINESTRING (14.822183225330722 47.66889815500067, 19.07785532036663 47.21439242207342)'
AT00-ITN1-DC,AT00,ITN1,380,875,464387.90328120446,t,f,AT00 -> ITN1,'LINESTRING (14.822183225330722 47.66889815500067, 9.703872107321653 45.440276039583814)'
AT00-SI00-DC,AT00,SI00,380,950,167638.65037271174,t,f,AT00 -> SI00,'LINESTRING (14.822183225330722 47.66889815500067, 14.592048101522531 46.168654970248674)'
AT00-SK00-DC,AT00,SK00,380,0,313877.82868718565,t,f,AT00 -> SK00,'LINESTRING (14.822183225330722 47.66889815500067, 18.778426368090923 48.64514405218487)'
BA00-HR00-DC,BA00,HR00,380,900,225105.37476101736,t,f,BA00 -> HR00,'LINESTRING (17.867837381251395 43.98201574415204, 15.328558588707311 44.87715536673345)'
BA00-ME00-DC,BA00,ME00,380,500,174703.76968735445,t,f,BA00 -> ME00,'LINESTRING (17.867837381251395 43.98201574415204, 19.082581244926107 42.67587451024281)'
BA00-RS00-DC,BA00,RS00,380,1640,240326.21754623193,t,f,BA00 -> RS00,'LINESTRING (17.867837381251395 43.98201574415204, 20.844931029154555 44.22438574020019)'
BE00-DE00-DC,BE00,DE00,380,1000,369599.7738482474,t,f,BE00 -> DE00,'LINESTRING (4.96793113501169 50.47063494467691, 10.11340015140031 51.10991486311772)'
BE00-FR00-DC,BE00,FR00,380,2800,459210.34945001395,t,f,BE00 -> FR00,'LINESTRING (4.96793113501169 50.47063494467691, 2.5531561680612014 46.661234529363774)'
BE00-GB00-DC,BE00,GB00,380,1000,675296.757137899,t,f,BE00 -> GB00,'LINESTRING (4.96793113501169 50.47063494467691, -2.37991519288217 54.57429734494409)'
BE00-LUB1-DC,BE00,LUB1,380,380,105631.51860863314,t,f,BE00 -> LUB1,'LINESTRING (4.96793113501169 50.47063494467691, 6.060078314929736 49.831245410072725)'
BE00-LUG1-DC,BE00,LUG1,380,300,105631.51860863314,t,f,BE00 -> LUG1,'LINESTRING (4.96793113501169 50.47063494467691, 6.060078314929736 49.831245410072725)'
BE00-NL00-DC,BE00,NL00,380,3400,183979.50362902408,t,f,BE00 -> NL00,'LINESTRING (4.96793113501169 50.47063494467691, 5.506506419176196 52.08908232001923)'
BG00-GR00-DC,BG00,GR00,380,1700,479185.9319693426,t,f,BG00 -> GR00,'LINESTRING (25.323948321769798 42.66875960983357, 21.529612363362705 39.48616951026592)'
BG00-MK00-DC,BG00,MK00,380,400,320682.3359814209,t,f,BG00 -> MK00,'LINESTRING (25.323948321769798 42.66875960983357, 21.73596299130559 41.612799248609235)'
BG00-RO00-DC,BG00,RO00,380,2190,382509.25646737905,t,f,BG00 -> RO00,'LINESTRING (25.323948321769798 42.66875960983357, 24.750474823757145 46.08897119764826)'
BG00-RS00-DC,BG00,RS00,380,380,399980.1808745008,t,f,BG00 -> RS00,'LINESTRING (25.323948321769798 42.66875960983357, 20.844931029154555 44.22438574020019)'
CH00-AT00-DC,CH00,AT00,380,1200,494893.19361192145,t,f,CH00 -> AT00,'LINESTRING (8.416155547862315 46.797090406754855, 14.822183225330722 47.66889815500067)'
CH00-DE00-DC,CH00,DE00,380,4200,495253.46790453326,t,f,CH00 -> DE00,'LINESTRING (8.416155547862315 46.797090406754855, 10.11340015140031 51.10991486311772)'
CH00-FR00-DC,CH00,FR00,380,2200,448562.49727352156,t,f,CH00 -> FR00,'LINESTRING (8.416155547862315 46.797090406754855, 2.5531561680612014 46.661234529363774)'
CH00-ITN1-DC,CH00,ITN1,380,5772,180649.89397381846,t,f,CH00 -> ITN1,'LINESTRING (8.416155547862315 46.797090406754855, 9.703872107321653 45.440276039583814)'
CY00-GR03-DC,CY00,GR03,380,1000,746706.7996089577,t,f,CY00 -> GR03,'LINESTRING (33.00894727583923 34.944962529193454, 24.870955600140398 35.248359663342555)'
CZ00-AT00-DC,CZ00,AT00,380,900,239946.17806962028,t,f,CZ00 -> AT00,'LINESTRING (15.66368315845627 49.752662484669656, 14.822183225330722 47.66889815500067)'
CZ00-DE00-DC,CZ00,DE00,380,2600,422050.83277755324,t,f,CZ00 -> DE00,'LINESTRING (15.66368315845627 49.752662484669656, 10.11340015140031 51.10991486311772)'
CZ00-PL00-DC,CZ00,PL00,380,600,353672.0450037741,t,f,CZ00 -> PL00,'LINESTRING (15.66368315845627 49.752662484669656, 19.12839483240633 52.055838748018296)'
CZ00-SK00-DC,CZ00,SK00,380,1800,257961.1914103067,t,f,CZ00 -> SK00,'LINESTRING (15.66368315845627 49.752662484669656, 18.778426368090923 48.64514405218487)'
DE00-AT00-DC,DE00,AT00,380,7500,512754.70005599415,t,f,DE00 -> AT00,'LINESTRING (10.11340015140031 51.10991486311772, 14.822183225330722 47.66889815500067)'
DE00-BE00-DC,DE00,BE00,380,1000,369599.7738482474,t,f,DE00 -> BE00,'LINESTRING (10.11340015140031 51.10991486311772, 4.96793113501169 50.47063494467691)'
DE00-CH00-DC,DE00,CH00,380,4400,495253.46790453326,t,f,DE00 -> CH00,'LINESTRING (10.11340015140031 51.10991486311772, 8.416155547862315 46.797090406754855)'
DE00-CZ00-DC,DE00,CZ00,380,2500,422050.83277755324,t,f,DE00 -> CZ00,'LINESTRING (10.11340015140031 51.10991486311772, 15.66368315845627 49.752662484669656)'
DE00-DKE1-DC,DE00,DKE1,380,600,481465.81789142743,t,f,DE00 -> DKE1,'LINESTRING (10.11340015140031 51.10991486311772, 11.78540641787436 55.319110125986754)'
DE00-DKW1-DC,DE00,DKW1,380,3500,575552.3099737505,t,f,DE00 -> DKW1,'LINESTRING (10.11340015140031 51.10991486311772, 9.231846810338668 56.25589129896813)'
DE00-FR00-DC,DE00,FR00,380,4800,741926.3318045092,t,f,DE00 -> FR00,'LINESTRING (10.11340015140031 51.10991486311772, 2.5531561680612014 46.661234529363774)'
DE00-GB00-DC,DE00,GB00,380,1400,923519.9562596382,t,f,DE00 -> GB00,'LINESTRING (10.11340015140031 51.10991486311772, -2.37991519288217 54.57429734494409)'
DE00-LUG1-DC,DE00,LUG1,380,2400,320895.19070010784,t,f,DE00 -> LUG1,'LINESTRING (10.11340015140031 51.10991486311772, 6.060078314929736 49.831245410072725)'
DE00-LUV1-DC,DE00,LUV1,380,1300,320895.19070010784,t,f,DE00 -> LUV1,'LINESTRING (10.11340015140031 51.10991486311772, 6.060078314929736 49.831245410072725)'
DE00-NL00-DC,DE00,NL00,380,5000,337189.82773703866,t,f,DE00 -> NL00,'LINESTRING (10.11340015140031 51.10991486311772, 5.506506419176196 52.08908232001923)'
DE00-NOS0-DC,DE00,NOS0,380,1400,1028207.8256905646,t,f,DE00 -> NOS0,'LINESTRING (10.11340015140031 51.10991486311772, 9.57699815953031 60.34827156120505)'
