carrier,index_carrier,bus,p_nom,e_nom,efficiency,country,unit,open_tyndp_type
uranium,nuclear,AL00,0.0,0.0,1.0,AL,MW,nuclear
coal,coal-old1,AL00,0.0,0.0,1.0,AL,MW,coal
coal,coal-old2,AL00,0.0,0.0,1.0,AL,MW,coal
coal,coal-new,AL00,0.0,0.0,1.0,AL,MW,coal
coal,coal-ccs,AL00,0.0,0.0,1.0,AL,MW,coal-ccs
lignite,lignite-old1,AL00,0.0,0.0,1.0,AL,MW,lignite
lignite,lignite-old2,AL00,0.0,0.0,1.0,AL,MW,lignite
lignite,lignite-new,AL00,0.0,0.0,1.0,AL,MW,lignite
lignite,lignite-ccs,AL00,0.0,0.0,1.0,AL,MW,lignite-ccs
gas,gas-conv-old1,AL00,0.0,0.0,1.0,AL,MW,gas-conv
gas,gas-conv-old2,AL00,0.0,0.0,1.0,AL,MW,gas-conv
gas,gas-ccgt-old1,AL00,0.0,0.0,1.0,AL,MW,gas-ccgt
gas,gas-ccgt-old2,AL00,100.0,0.0,1.0,AL,MW,gas-ccgt
gas,gas-ccgt-new,AL00,200.0,0.0,1.0,AL,MW,gas-ccgt
gas,gas-ccgt-ccs,AL00,0.0,0.0,1.0,AL,MW,gas-ccgt-ccs
gas,gas-ocgt-old,AL00,0.0,0.0,1.0,AL,MW,gas-ocgt
gas,gas-ocgt-new,AL00,0.0,0.0,1.0,AL,MW,gas-ocgt
oil-light,oil-light,AL00,0.0,0.0,1.0,AL,MW,oil-light
oil-heavy,oil-heavy-old1,AL00,0.0,0.0,1.0,AL,MW,oil-heavy
oil-heavy,oil-heavy-old2,AL00,0.0,0.0,1.0,AL,MW,oil-heavy
oil-shale,oil-shale-old,AL00,0.0,0.0,1.0,AL,MW,oil-shale
oil-shale,oil-shale-new,AL00,0.0,0.0,1.0,AL,MW,oil-shale
gas,gas-ccgt-present1,AL00,0.0,0.0,1.0,AL,MW,gas-ccgt
gas,gas-ccgt-present2,AL00,0.0,0.0,1.0,AL,MW,gas-ccgt
h2-fuel-cell,h2-fuel-cell,AL00,0.0,0.0,1.0,AL,MW,h2-fuel-cell
h2-ccgt,h2-ccgt,AL00,0.0,0.0,1.0,AL,MW,h2-ccgt
battery,battery-charge,AL00,0,0.0,0.0,AL,MW,battery-charge
battery,battery-discharge,AL00,0,0.0,0.0,AL,MW,battery-discharge
battery,battery-store,AL00,0.0,0,0.0,AL,MWh,battery-store
hydro-ror,hydro-ror-turbine,AL00,603.6719999999999,0.0,1.0,AL,MW,hydro-ror-turbine
hydro-pondage,hydro-pondage-reservoir,AL00,0.0,0,1.0,AL,GWh,hydro-pondage-reservoir
hydro-pondage,hydro-pondage-turbine,AL00,0,0.0,1.0,AL,MW,hydro-pondage-turbine
hydro-reservoir,hydro-reservoir-reservoir,AL00,0.0,1721.68,1.0,AL,GWh,hydro-reservoir-reservoir
hydro-reservoir,hydro-reservoir-turbine,AL00,2031.743999999999,0.0,1.0,AL,MW,hydro-reservoir-turbine
hydro-phs,hydro-phs-reservoir,AL00,0.0,0,1.0,AL,GWh,hydro-phs-reservoir
hydro-phs,hydro-phs-turbine,AL00,0,0.0,1.0,AL,MW,hydro-phs-turbine
hydro-phs,hydro-phs-pump,AL00,0,0.0,1.0,AL,MW,hydro-phs-pump
hydro-phs-pure,hydro-phs-pure-reservoir,AL00,0.0,0,1.0,AL,GWh,hydro-phs-pure-reservoir
hydro-phs-pure,hydro-phs-pure-turbine,AL00,0,0.0,1.0,AL,MW,hydro-phs-pure-turbine
hydro-phs-pure,hydro-phs-pure-pump,AL00,0,0.0,1.0,AL,MW,hydro-phs-pure-pump
other-res,other-res,AL00,0,0.0,1.0,AL,MW,other-res
uranium,nuclear,AT00,0.0,0.0,1.0,AT,MW,nuclear
coal,coal-old1,AT00,0.0,0.0,1.0,AT,MW,coal
coal,coal-old2,AT00,0.0,0.0,1.0,AT,MW,coal
coal,coal-new,AT00,0.0,0.0,1.0,AT,MW,coal
coal,coal-ccs,AT00,0.0,0.0,1.0,AT,MW,coal-ccs
lignite,lignite-old1,AT00,0.0,0.0,1.0,AT,MW,lignite
lignite,lignite-old2,AT00,0.0,0.0,1.0,AT,MW,lignite
lignite,lignite-new,AT00,0.0,0.0,1.0,AT,MW,lignite
lignite,lignite-ccs,AT00,0.0,0.0,1.0,AT,MW,lignite-ccs
gas,gas-conv-old1,AT00,414.33,0.0,1.0,AT,MW,gas-conv
gas,gas-conv-old2,AT00,79.46,0.0,1.0,AT,MW,gas-conv
gas,gas-ccgt-old1,AT00,356.5,0.0,1.0,AT,MW,gas-ccgt
gas,gas-ccgt-old2,AT00,220.0,0.0,1.0,AT,MW,gas-ccgt
gas,gas-ccgt-new,AT00,113.0,0.0,1.0,AT,MW,gas-ccgt
gas,gas-ccgt-ccs,AT00,0.0,0.0,1.0,AT,MW,gas-ccgt-ccs
gas,gas-ocgt-old,AT00,17.2,0.0,1.0,AT,MW,gas-ocgt
gas,gas-ocgt-new,AT00,51.2,0.0,1.0,AT,MW,gas-ocgt
oil-light,oil-light,AT00,120.0,0.0,1.0,AT,MW,oil-light
oil-heavy,oil-heavy-old1,AT00,0.0,0.0,1.0,AT,MW,oil-heavy
oil-heavy,oil-heavy-old2,AT00,0.0,0.0,1.0,AT,MW,oil-heavy
oil-shale,oil-shale-old,AT00,0.0,0.0,1.0,AT,MW,oil-shale
oil-shale,oil-shale-new,AT00,0.0,0.0,1.0,AT,MW,oil-shale
gas,gas-ccgt-present1,AT00,370.0,0.0,1.0,AT,MW,gas-ccgt
gas,gas-ccgt-present2,AT00,1751.6,0.0,1.0,AT,MW,gas-ccgt
h2-fuel-cell,h2-fuel-cell,AT00,0.0,0.0,1.0,AT,MW,h2-fuel-cell
h2-ccgt,h2-ccgt,AT00,0.0,0.0,1.0,AT,MW,h2-ccgt
