index_carrier,carrier,pypsa_carrier,fuel_type,emission_type,costs_technology,efficiency,vom_eur_mwh,fom_eur_mw_year,fuel_price_eur_gj,fuel_price_eur_mwh,co2_kg_gj,co2_tco2_mwh,marginal_cost_eur_mwh
battery-charge,battery,battery,renewable,renewable,battery inverter,0.96,0.0,0.3375,0.0,0.0,0.0,0.0,0.0
battery-discharge,battery,battery,renewable,renewable,battery inverter,0.96,0.0,0.3375,0.0,0.0,0.0,0.0,0.0
battery-store,battery,battery,renewable,renewable,battery storage,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chp-gas-ccgt-ccs-other-65.2870588235294eur,chp,gas-ccgt-ccs,gas,gas-ccgt-ccs,gas-ccgt-ccs,0.58,4.4445,3.3494,6.3,22.68,5.7,0.02052,47.55996206896552
chp-gas-ccgt-new-other-77.04000000000002eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-ccgt-old-1-industrial-200eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-ccgt-old-1-industrial-520eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-ccgt-old-1-other-0eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-ccgt-old-1-other-509.9999999999999eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-ccgt-old-1-other-530eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-ccgt-old-1-other-70.65eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-ccgt-old-2-other-0eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-ccgt-old-2-other-58.87500000000006eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-ccgt-present-2-other-0eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-ccgt-present-2-other-79.69655172413793eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-conventional-old-1-district-heatring-128.4eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-conventional-old-1-industrial-0eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-conventional-old-1-other-0eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-conventional-old-1-other-128.4eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-conventional-old-1-other-210eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-conventional-old-2-industrial-0eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
chp-gas-conventional-old-2-other-0eur,chp,gas,gas,gas,CCGT,0.58,4.4445,3.3494,6.3,22.68,51.57,0.185652,79.84611517241379
