carrier,index_carrier,bus,p_nom,e_nom,efficiency,country,unit,open_tyndp_type
electrolyser,electrolyser-onshore-grid,AL00,0,0.0,0,AL,MW,electrolyser-onshore-grid
hydro-ror,hydro-ror-turbine,AL00,603.6719999999999,0.0,1.0,AL,MW,hydro-ror-turbine
hydro-pondage,hydro-pondage-reservoir,AL00,0.0,0.0,1.0,AL,MWh,hydro-pondage-reservoir
hydro-pondage,hydro-pondage-turbine,AL00,0.0,0.0,1.0,AL,MW,hydro-pondage-turbine
hydro-reservoir,hydro-reservoir-reservoir,AL00,0.0,1721680.0,1.0,AL,MWh,hydro-reservoir-reservoir
hydro-reservoir,hydro-reservoir-turbine,AL00,2031.743999999999,0.0,1.0,AL,MW,hydro-reservoir-turbine
hydro-phs,hydro-phs-reservoir,AL00,0.0,0.0,1.0,AL,MWh,hydro-phs-reservoir
hydro-phs,hydro-phs-turbine,AL00,0.0,0.0,1.0,AL,MW,hydro-phs-turbine
hydro-phs,hydro-phs-pump,AL00,0.0,0.0,1.0,AL,MW,hydro-phs-pump
hydro-phs-pure,hydro-phs-pure-reservoir,AL00,0.0,0.0,1.0,AL,MWh,hydro-phs-pure-reservoir
hydro-phs-pure,hydro-phs-pure-turbine,AL00,0.0,0.0,1.0,AL,MW,hydro-phs-pure-turbine
hydro-phs-pure,hydro-phs-pure-pump,AL00,0.0,0.0,1.0,AL,MW,hydro-phs-pure-pump
onwind,onwind,AL00,280.0,0.0,1.0,AL,MW,onwind
offwind,offwind,AL00,0.0,0.0,1.0,AL,MW,offwind
solar-thermal,solar-thermal,AL00,0.0,0.0,1.0,AL,MW,solar-thermal
solar-pv-utility,solar-pv-utility,AL00,600.0,0.0,1.0,AL,MW,solar-pv-utility
solar-pv-rooftop,solar-pv-rooftop,AL00,0.0,0.0,1.0,AL,MW,solar-pv-rooftop
solar-thermal-w-storage,solar-thermal-w-storage,AL00,0.0,0.0,1.0,AL,MW,solar-thermal-w-storage
solar-thermal-w-storage,solar-thermal-w-storage-storage,AL00,0.0,0.0,1.0,AL,MWh,solar-thermal-w-storage-storage
battery,battery-charge,AL00,0,0.0,0,AL,MW,battery-charge
battery,battery-discharge,AL00,0,0.0,0,AL,MW,battery-discharge
battery,battery-store,AL00,0.0,0,0,AL,MWh,battery-store
uranium,nuclear,AL00,0.0,0.0,1.0,AL,MW,nuclear
coal,coal-old1,AL00,0.0,0.0,1.0,AL,MW,coal
coal,coal-old2,AL00,0.0,0.0,1.0,AL,MW,coal
coal,coal-new,AL00,0.0,0.0,1.0,AL,MW,coal
coal,coal-ccs,AL00,0.0,0.0,1.0,AL,MW,coal-ccs
lignite,lignite-old1,AL00,0.0,0.0,1.0,AL,MW,lignite
lignite,lignite-old2,AL00,0.0,0.0,1.0,AL,MW,lignite
lignite,lignite-new,AL00,0.0,0.0,1.0,AL,MW,lignite
lignite,lignite-ccs,AL00,0.0,0.0,1.0,AL,MW,lignite-ccs
gas,gas-conv-old1,AL00,0.0,0.0,1.0,AL,MW,gas-conv
gas,gas-conv-old2,AL00,0.0,0.0,1.0,AL,MW,gas-conv
gas,gas-ccgt-old1,AL00,0.0,0.0,1.0,AL,MW,gas-ccgt
gas,gas-ccgt-old2,AL00,100.0,0.0,1.0,AL,MW,gas-ccgt
gas,gas-ccgt-new,AL00,200.0,0.0,1.0,AL,MW,gas-ccgt
gas,gas-ccgt-ccs,AL00,0.0,0.0,1.0,AL,MW,gas-ccgt-ccs
gas,gas-ocgt-old,AL00,0.0,0.0,1.0,AL,MW,gas-ocgt
gas,gas-ocgt-new,AL00,0.0,0.0,1.0,AL,MW,gas-ocgt
oil-light,oil-light,AL00,0.0,0.0,1.0,AL,MW,oil-light
oil-heavy,oil-heavy-old1,AL00,0.0,0.0,1.0,AL,MW,oil-heavy
oil-heavy,oil-heavy-old2,AL00,0.0,0.0,1.0,AL,MW,oil-heavy
oil-shale,oil-shale-old,AL00,0.0,0.0,1.0,AL,MW,oil-shale
oil-shale,oil-shale-new,AL00,0.0,0.0,1.0,AL,MW,oil-shale
gas,gas-ccgt-present1,AL00,0.0,0.0,1.0,AL,MW,gas-ccgt
gas,gas-ccgt-present2,AL00,0.0,0.0,1.0,AL,MW,gas-ccgt
h2-fuel-cell,h2-fuel-cell,AL00,0.0,0.0,1.0,AL,MW,h2-fuel-cell
h2-ccgt,h2-ccgt,AL00,0.0,0.0,1.0,AL,MW,h2-ccgt
other-res,other-res,AL00,0,0.0,1.0,AL,MW,other-res
electrolyser,electrolyser-onshore-grid,AT00,1000.2,0.0,0.6799999999999998,AT,MW,electrolyser-onshore-grid
hydro-ror,hydro-ror-turbine,AT00,5228.625759999998,0.0,1.0,AT,MW,hydro-ror-turbine
hydro-pondage,hydro-pondage-reservoir,AT00,0.0,5332.957,1.0,AT,MWh,hydro-pondage-reservoir
hydro-pondage,hydro-pondage-turbine,AT00,1149.307,0.0,1.0,AT,MW,hydro-pondage-turbine
hydro-reservoir,hydro-reservoir-reservoir,AT00,0.0,769036.5679999999,1.0,AT,MWh,hydro-reservoir-reservoir
hydro-reservoir,hydro-reservoir-turbine,AT00,2787.128999999999,0.0,1.0,AT,MW,hydro-reservoir-turbine
hydro-phs,hydro-phs-reservoir,AT00,0.0,1746653.0,1.0,AT,MWh,hydro-phs-reservoir
hydro-phs,hydro-phs-turbine,AT00,5607.5,0.0,1.0,AT,MW,hydro-phs-turbine
hydro-phs,hydro-phs-pump,AT00,-5532.919999999999,0.0,1.0,AT,MW,hydro-phs-pump
hydro-phs-pure,hydro-phs-pure-reservoir,AT00,0.0,3600.0,1.0,AT,MWh,hydro-phs-pure-reservoir
