bus,index_carrier,carrier,p_nom,e_nom,efficiency,country,unit,open_tyndp_type
AL00,coal,coal,0.0,0.0,1.0,AL,MW,
AL00,coal-ccs,coal,0.0,0.0,1.0,AL,MW,
AL00,gas-ccgt,gas,300.0,0.0,1.0,AL,MW,
AL00,gas-ccgt-ccs,gas,0.0,0.0,1.0,AL,MW,
AL00,gas-conv,gas,0.0,0.0,1.0,AL,MW,
AL00,gas-ocgt,gas,0.0,0.0,1.0,AL,MW,
AL00,lignite,lignite,0.0,0.0,1.0,AL,MW,
AL00,lignite-ccs,lignite,0.0,0.0,1.0,AL,MW,
AL00,nuclear,uranium,0.0,0.0,1.0,AL,MW,
AL00,oil-heavy,oil-heavy,0.0,0.0,1.0,AL,MW,
AL00,oil-light,oil-light,0.0,0.0,1.0,AL,MW,
AL00,oil-shale,oil-shale,0.0,0.0,1.0,AL,MW,
AT00,coal,coal,0.0,0.0,1.0,AT,MW,
AT00,coal-ccs,coal,0.0,0.0,1.0,AT,MW,
AT00,gas-ccgt,gas,2811.1,0.0,1.0,AT,MW,
AT00,gas-ccgt-ccs,gas,0.0,0.0,1.0,AT,MW,
AT00,gas-conv,gas,493.78999999999996,0.0,1.0,AT,MW,
AT00,gas-ocgt,gas,68.4,0.0,1.0,AT,MW,
AT00,lignite,lignite,0.0,0.0,1.0,AT,MW,
AT00,lignite-ccs,lignite,0.0,0.0,1.0,AT,MW,
AT00,nuclear,uranium,0.0,0.0,1.0,AT,MW,
AT00,oil-heavy,oil-heavy,0.0,0.0,1.0,AT,MW,
AT00,oil-light,oil-light,120.0,0.0,1.0,AT,MW,
AT00,oil-shale,oil-shale,0.0,0.0,1.0,AT,MW,
BA00,coal,coal,0.0,0.0,1.0,BA,MW,
BA00,coal-ccs,coal,0.0,0.0,1.0,BA,MW,
BA00,gas-ccgt,gas,0.0,0.0,1.0,BA,MW,
BA00,gas-ccgt-ccs,gas,0.0,0.0,1.0,BA,MW,
BA00,gas-conv,gas,0.0,0.0,1.0,BA,MW,
