Year;Scenario;Technology;Node_Type;Value;Country;Climate_Year;Unit_Name
2030;National Trends;Battery Storage charge (load);Market;0,041161749;Austria;CY1995;TWh
2030;National Trends;Battery Storage charge (load);Market;0,041161749;Austria;CY2008;TWh
2030;National Trends;Battery Storage charge (load);Market;0,041161749;Austria;CY2009;TWh
2030;National Trends;Battery Storage charge (load);Market;0,836666475;Belgium;CY1995;TWh
2030;National Trends;Battery Storage charge (load);Market;0,836666475;Belgium;CY2008;TWh
2030;National Trends;Battery Storage charge (load);Market;0,836666475;Belgium;CY2009;TWh
2030;National Trends;Battery Storage charge (load);Market;1,442237111;Bulgaria;CY1995;TWh
2030;National Trends;Battery Storage charge (load);Market;1,442237111;Bulgaria;CY2008;TWh
2030;National Trends;Battery Storage charge (load);Market;1,442237111;Bulgaria;CY2009;TWh
2030;National Trends;Battery Storage charge (load);Market;0,114810872;Croatia;CY1995;TWh
2030;National Trends;Battery Storage charge (load);Market;0,114810872;Croatia;CY2008;TWh
2030;National Trends;Battery Storage charge (load);Market;0,114810872;Croatia;CY2009;TWh
2030;National Trends;Battery Storage charge (load);Market;0,364592987;Czech Republic;CY1995;TWh
2030;National Trends;Battery Storage charge (load);Market;0,364592987;Czech Republic;CY2008;TWh
2030;National Trends;Battery Storage charge (load);Market;0,364592987;Czech Republic;CY2009;TWh
2030;National Trends;Battery Storage charge (load);Market;0,458605614;Denmark;CY1995;TWh
2030;National Trends;Battery Storage charge (load);Market;0,458605614;Denmark;CY2008;TWh
2030;National Trends;Battery Storage charge (load);Market;0,458605614;Denmark;CY2009;TWh
2030;National Trends;Battery Storage charge (load);Market;0,589221946;Finland;CY1995;TWh
2030;National Trends;Battery Storage charge (load);Market;0,589221946;Finland;CY2008;TWh
2030;National Trends;Battery Storage charge (load);Market;0,589221946;Finland;CY2009;TWh
2030;National Trends;Battery Storage charge (load);Market;0,441577133;France;CY1995;TWh
2030;National Trends;Battery Storage charge (load);Market;0,441577133;France;CY2008;TWh
2030;National Trends;Battery Storage charge (load);Market;0,441577133;France;CY2009;TWh
2030;National Trends;Battery Storage charge (load);Market;2,69880631;Germany;CY1995;TWh
2030;National Trends;Battery Storage charge (load);Market;2,69880631;Germany;CY2008;TWh
2030;National Trends;Battery Storage charge (load);Market;2,69880631;Germany;CY2009;TWh
2030;National Trends;Battery Storage charge (load);Market;3,686117447;Greece;CY1995;TWh
