Year;Scenario;Category_Simple;Category_Detail;Value;Country;Climate_Year;Property_Name;Unit_Name
2030;National Trends;Battery Storage;Large scale batteries;0,037868777;Austria;CY1995;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,037868777;Austria;CY2008;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,037868777;Austria;CY2009;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,769733254;Belgium;CY1995;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,769733254;Belgium;CY2008;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,769733254;Belgium;CY2009;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;1,326858145;Bulgaria;CY1995;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;1,326858145;Bulgaria;CY2008;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;1,326858145;Bulgaria;CY2009;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,105626018;Croatia;CY1995;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,105626018;Croatia;CY2008;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,105626018;Croatia;CY2009;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,335425595;Czech Republic;CY1995;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,335425595;Czech Republic;CY2008;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,335425595;Czech Republic;CY2009;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,421917164;Denmark;CY1995;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,421917164;Denmark;CY2008;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,421917164;Denmark;CY2009;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,542084173;Finland;CY1995;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,542084173;Finland;CY2008;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,542084173;Finland;CY2009;Generation;TWh
2030;National Trends;Battery Storage;Large scale batteries;0,406250984;France;CY1995;Generation;TWh
