Year;Scenario;Category_Simple;Category_Detail;Value;Country;Climate_Year;Property_Name;Unit_Name
2030;National Trends;Gas;Gas CCGT;1,038653645;Albania;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,3;Albania;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;1,038653645;Albania;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,3;Albania;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;1,038653645;Albania;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,3;Albania;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;107,6193507;Algeria;CY1995;Generation;TWh
2030;National Trends;Gas;Gas OCGT;10,19289558;Algeria;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;20,179998;Algeria;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;6,28;Algeria;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;107,6193507;Algeria;CY2008;Generation;TWh
2030;National Trends;Gas;Gas OCGT;10,19289558;Algeria;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;20,179998;Algeria;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;6,28;Algeria;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;107,6193507;Algeria;CY2009;Generation;TWh
2030;National Trends;Gas;Gas OCGT;10,19289558;Algeria;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;20,179998;Algeria;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;6,28;Algeria;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;4,629423642;Austria;CY1995;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,013889576;Austria;CY1995;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,00652568;Austria;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;2,811105;Austria;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,493786;Austria;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,0684;Austria;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;4,629423642;Austria;CY2008;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,013889576;Austria;CY2008;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,00652568;Austria;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;2,811105;Austria;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,493786;Austria;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,0684;Austria;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;4,629423642;Austria;CY2009;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,013889576;Austria;CY2009;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,00652568;Austria;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;2,811105;Austria;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,493786;Austria;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,0684;Austria;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;11,15984627;Belgium;CY1995;Generation;TWh
2030;National Trends;Gas;Gas conventional;4,584815294;Belgium;CY1995;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,029550788;Belgium;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;3,5071;Belgium;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,870998;Belgium;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,244;Belgium;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;11,15984627;Belgium;CY2008;Generation;TWh
2030;National Trends;Gas;Gas conventional;4,584815294;Belgium;CY2008;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,029550788;Belgium;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;3,5071;Belgium;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,870998;Belgium;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,244;Belgium;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;11,15984627;Belgium;CY2009;Generation;TWh
2030;National Trends;Gas;Gas conventional;4,584815294;Belgium;CY2009;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,029550788;Belgium;CY2009;Generation;TWh
