BORDER;FROM NODE;TO NODE;YEAR;SCENARIO;DIRECT CAPACITY INCREASE (MW);INDIRECT CAPACITY INCREASE (MW);CAPEX (M_)
AT00-ITN1 Real 1;AT00;ITN1;2035;All;500;500;175
AT00-ITN1 Real 2;AT00;ITN1;2040;All;150;150;148,18
AT00-SI00 Real 1;AT00;SI00;2035;All;500;500;316,7
BE00-DE00 Real 1;BE00;DE00;2040;All;1000;1000;964
BE00-FR00 Real 1;BE00;FR00;2030;All;1000;1000;150
BE00-LUG1 Real 1;BE00;LUG1;2040;All;500;500;210
BE00-NL00 Real 1;BE00;NL00;2035;All;1000;1000;1090
BE00-NL00 Real 2;BE00;NL00;2035;All;1000;1000;94
BE00-UK00 Real 1;BE00;UK00;2035;All;1400;1400;1649
BG00-TR00 Real 1;BG00;TR00;2040;All;1100;700;60
CH00-DE00 Real 1;CH00;DE00;2035;All;200;0;290,22
CH00-DE00 Real 2;CH00;DE00;2035;All;100;600;86
DE00-CH00 Real 1;DE00;CH00;2040;All;1000;1000;1096
CH00-ITN1 Real 1;CH00;ITN1;2035;All;1000;1000;1289
DE00-NL00 Real 1;DE00;NL00;2035;All;1000;1000;200
DKW1-UK00 Real 1;DKW1;UK00;2035;All;1400;1400;1471
ES00-FR00 Real 1;ES00;FR00;2030;All;1500;1500;1221
ES00-FR00 Real 2;ES00;FR00;2030;All;1500;1500;1554
FR00-UK00 Real 1;FR00;UK00;2035;All;1250;1250;1200
IE00-UKNI Real 1;IE00;UKNI;2030;All;950;950;363
UK00-UKNI Real 1;UK00;UKNI;2030;All;700;700;446
BA00-HR00 Real 1;BA00;HR00;2035;All;998;302;267,03
BG00-RS00 Real 1;BG00;RS00;2035;All;490;270;272,5
CZ00-SK00 Real 1;CZ00;SK00;2035;All;500;500;133,35
DE00-SE04 Real 1;DE00;SE04;2035;All;700;700;661
DE00-UK00 Real 1;DE00;UK00;2030;All;1400;1400;1675
DKW1-SE03 Real 1;DKW1;SE03;2035;All;700;700;317
EE00-FI00 Real 1;EE00;FI00;2035;All;700;700;630
EE00-LV00 Real 1;EE00;LV00;2035;All;1000;1000;900
FI00-SE01 Real 1;FI00;SE01;2035;All;800;800;270
FI00-SE01 Real 2;FI00;SE01;2030;All;900;800;270
FI00-SE03 Real 1;FI00;SE03;2040;All;800;800;500
