ws;Technology;cat;par;unit;priceyear;note;ref;est;year;val
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Cb coefficient (50¡C/100¡C);;;A;;ctrl;2015;0,75
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Cb coefficient (50¡C/100¡C);;;A;;ctrl;2020;0,84
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Cb coefficient (50¡C/100¡C);;;A;;ctrl;2030;1,01
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Construction time [years];years;;;[2, 3, 3];ctrl;2015;4,5
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Construction time [years];years;;;[2, 3, 3];ctrl;2020;4,5
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Construction time [years];years;;;[2, 3, 3];ctrl;2030;4,5
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Cv coefficient (50¡C/100¡C);;;;1;ctrl;2015;0,15
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Cv coefficient (50¡C/100¡C);;;;1;ctrl;2020;0,15
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Cv coefficient (50¡C/100¡C);;;;1;ctrl;2030;0,15
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Electrical efficiency (net, name plate) [];;;C;[8, 7, 9, 11];ctrl;2015;0,46
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Electrical efficiency (net, name plate) [];;;C;[8, 7, 9, 11];ctrl;2020;0,485
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Electrical efficiency (net, name plate) [];;;C;[8, 7, 9, 11];ctrl;2030;0,52
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Electrical efficiency (net, name plate) [];;;C;[8, 7, 9, 11];ctrl;2050;0,535
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;;;ctrl;2015;500
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;;;ctrl;2020;500
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;;;ctrl;2030;500
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;;;ctrl;2050;500
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Technical lifetime [years];years;;;6;ctrl;2015;25
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Technical lifetime [years];years;;;6;ctrl;2020;25
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Technical lifetime [years];years;;;6;ctrl;2030;25
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Energy/technical data;Technical lifetime [years];years;;;6;ctrl;2050;25
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Environment;CH4 [g/GJ_i];g/GJ_i;;;[13, 5, 5, 5];ctrl;2015;1,5
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Environment;CH4 [g/GJ_i];g/GJ_i;;;[13, 5, 5, 5];ctrl;2020;1,5
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Environment;CH4 [g/GJ_i];g/GJ_i;;;[13, 5, 5, 5];ctrl;2030;1,5
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Environment;CH4 [g/GJ_i];g/GJ_i;;;[13, 5, 5, 5];ctrl;2050;1,5
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Environment;N2O [g/GJ_i];g/GJ_i;;;[13, 5, 5, 5];ctrl;2015;0,8
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Environment;N2O [g/GJ_i];g/GJ_i;;;[13, 5, 5, 5];ctrl;2020;0,8
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Environment;N2O [g/GJ_i];g/GJ_i;;;[13, 5, 5, 5];ctrl;2030;0,8
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Environment;N2O [g/GJ_i];g/GJ_i;;;[13, 5, 5, 5];ctrl;2050;0,8
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Environment;NOX [g/GJ_i];g/GJ_i;;B;[12, 5, 5, 5];ctrl;2015;38
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Environment;NOX [g/GJ_i];g/GJ_i;;B;[12, 5, 5, 5];ctrl;2020;35
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Environment;NOX [g/GJ_i];g/GJ_i;;B;[12, 5, 5, 5];ctrl;2030;35
